NOUN	NOUN_weight	PROPN	PROPN_weight	VERB	VERB_weight	KeyBert	KeyBert_weight
browser setting	0.0058309037900874635	general data protection regulation	0.0058309037900874635	adapt	0.003498542274052478	browser	0.04081632653061224
time	0.18542274052478133	gdpr	0.04956268221574344	disable	0.01574344023323615	position	0.004081632653061225
sharing	0.0052478134110787176	jaumos	0.0029154518950437317	delete	0.02857142857142857	disable	0.0163265306122449
position	0.004081632653061225	article	0.026822157434402333	result	0.004081632653061225	sharing	0.00816326530612245
email list	0.0029154518950437317	google analytics	0.004664723032069971	object	0.5072886297376094	setting	0.04081632653061224
use	0.09096209912536443	flurry analytics	0.0023323615160349854	base	0.0793002915451895	accordingly	0.00816326530612245
right	0.5026239067055394	mopubs	0.0029154518950437317	entitle	0.011078717201166181	time	0.1836734693877551
object	0.08629737609329446	european economic area	0.008746355685131196	accord	0.006997084548104956	adapt	0.004081632653061225
data processing	0.007580174927113703	united kingdom	0.0058309037900874635	process	0.15393586005830903	delete	0.0326530612244898
paragraph e	0.004664723032069971	switzerland	0.00816326530612245	limit	0.0163265306122449	email	0.0163265306122449
article	0.02099125364431487	mopub partners	0.0029154518950437317	ask	0.07055393586005831	use	0.18775510204081633
f	0.02099125364431487	united states	0.0029154518950437317	stop	0.027988338192419825	list	0.004081632653061225
advertisement	0.00816326530612245	paypal	0.0029154518950437317	handle	0.006997084548104956	object	0.6693877551020408
datum	0.363265306122449	digital advertising alliances	0.0029154518950437317	oppose	0.015160349854227406	result	0.004081632653061225
processing	0.4513119533527697	personal	0.01924198250728863	withdraw	0.05947521865889213	right	0.5591836734693878
information	0.239067055393586	privacy policy	0.0023323615160349854	reject	0.007580174927113703	gdpr	0.061224489795918366
circumstance	0.036734693877551024	overmobile	0.0029154518950437317	carry	0.01574344023323615	regulation	0.00816326530612245
accordance	0.02040816326530612	gdpr article	0.0023323615160349854	provide	0.02740524781341108	data	0.05714285714285714
data	0.03206997084548105	legal	0.0023323615160349854	know	0.0163265306122449	protection	0.012244897959183673
art	0.02857142857142857	privacy protection department	0.0029154518950437317	make	0.0058309037900874635	processing	0.4857142857142857
interest marketing	0.0029154518950437317	netmarble	0.004081632653061225	feel	0.004081632653061225	base	0.10612244897959183
research	0.0052478134110787176	icbc mobile banking	0.0029154518950437317	want	0.024489795918367346	general	0.0163265306122449
consent	0.09329446064139942	personal data	0.0029154518950437317	impact	0.004081632653061225	article	0.04897959183673469
system	0.004081632653061225	eu	0.01749271137026239	rely	0.007580174927113703	personal	0.46938775510204084
decision	0.01282798833819242	section ii.i.1.d	0.0023323615160349854	permit	0.016909620991253645	21	0.04081632653061224
basis	0.044897959183673466	uber	0.003498542274052478	send	0.0163265306122449	entitle	0.012244897959183673
user	0.05014577259475218	personal information	0.001749271137026239	cancel	0.004081632653061225	accord	0.00816326530612245
detail	0.01574344023323615	twitter	0.0029154518950437317	wish	0.00816326530612245	paragraph	0.012244897959183673
section	0.03381924198250729	advertising id	0.0029154518950437317	restrict	0.04956268221574344	datum	0.3795918367346939
marketing purpose	0.05772594752186589	google android	0.0029154518950437317	process pende	0.006997084548104956	advertisement	0.00816326530612245
personal datum	0.0023323615160349854	apple ios	0.0029154518950437317	override	0.037317784256559766	direct	0.10612244897959183
justification	0.004081632653061225	facebook google	0.0023323615160349854	arise	0.003498542274052478	process	0.22040816326530613
freedom	0.024489795918367346	java	0.0023323615160349854	exercise	0.02740524781341108	limit	0.0163265306122449
interest	0.09737609329446065	fireproof	0.0029154518950437317	mean	0.00816326530612245	ask	0.07346938775510205
situation	0.0653061224489796	flurry	0.001749271137026239	give	0.01574344023323615	circumstance	0.036734693877551024
party	0.0163265306122449	protection	0.003498542274052478	revoke	0.01282798833819242	information	0.2612244897959184
ground	0.10495626822157435	regulation	0.0023323615160349854	need	0.00816326530612245	certain	0.036734693877551024
objection	0.03965014577259475	general	0.0023323615160349854	opt	0.046064139941690965	stop	0.04081632653061224
law	0.0163265306122449	data	0.003498542274052478	accept	0.012244897959183673	art	0.02857142857142857
email	0.0052478134110787176	analytics	0.003498542274052478	work	0.004081632653061225	accordance	0.02040816326530612
newsletter	0.004081632653061225	google	0.004664723032069971	instal	0.003498542274052478	handle	0.00816326530612245
verification	0.0163265306122449	european	0.003498542274052478	share	0.030320699708454812	oppose	0.0163265306122449
reason	0.02040816326530612	economic	0.003498542274052478	visit	0.00816326530612245	consent	0.10612244897959183
order	0.011661807580174927	area	0.003498542274052478	prevent	0.03206997084548105	withdraw	0.0653061224489796
users data	0.0029154518950437317	united	0.0023323615160349854	set	0.007580174927113703	public	0.024489795918367346
permission	0.004081632653061225	kingdom	0.0023323615160349854	decide	0.019825072886297375	research	0.00816326530612245
browser	0.029154518950437316	states	0.0011661807580174927	note	0.011661807580174927	marketing	0.1510204081632653
cookie	0.02507288629737609	partners	0.0011661807580174927	identify	0.003498542274052478	reject	0.00816326530612245
process	0.01282798833819242	mopub	0.0011661807580174927	request	0.01574344023323615	decision	0.0163265306122449
marketing	0.08104956268221575	digital	0.0011661807580174927	continue	0.013994169096209912	automatic	0.004081632653061225
browser add	0.0023323615160349854	advertising	0.0023323615160349854	live	0.007580174927113703	legal	0.06938775510204082
activity	0.00641399416909621	alliances	0.0011661807580174927	contact	0.0478134110787172	user	0.0653061224489796
service	0.03906705539358601	policy	0.0011661807580174927	locate	0.003498542274052478	basis	0.044897959183673466
page	0.004081632653061225	privacy	0.0023323615160349854	inform	0.011661807580174927	carry	0.0163265306122449
condition	0.004081632653061225	department	0.0011661807580174927	respect	0.004081632653061225	section	0.04081632653061224
advertising experience	0.008746355685131196	icbc	0.0011661807580174927	issue	0.003498542274052478	dedicated	0.004081632653061225
purpose	0.07521865889212828	mobile	0.0011661807580174927	grant	0.003498542274052478	provide	0.02857142857142857
withdrawal	0.00816326530612245	banking	0.0011661807580174927	concern	0.02857142857142857	justification	0.004081632653061225
control	0.004081632653061225	section	0.0011661807580174927	relate	0.07113702623906705	purpose	0.13877551020408163
choice	0.00816326530612245	ii.i.1.d	0.0011661807580174927	call opt	0.0029154518950437317	know	0.0163265306122449
controller	0.004081632653061225	information	0.0011661807580174927	state	0.007580174927113703	particular	0.07346938775510205
opt	0.004664723032069971	id	0.0011661807580174927	destroy	0.003498542274052478	rely	0.00816326530612245
country	0.0052478134110787176	apple	0.0011661807580174927	describe	0.012244897959183673	situation	0.0653061224489796
data subject	0.008746355685131196	android	0.0011661807580174927	agree	0.012244897959183673	feel	0.004081632653061225
procedure	0.009912536443148687	ios	0.0011661807580174927	store	0.014577259475218658	legitimate	0.12244897959183673
mean	0.004081632653061225	facebook	0.0011661807580174927	process base	0.013994169096209912	want	0.024489795918367346
declaration	0.004081632653061225			collect	0.0163265306122449	fundamental	0.00816326530612245
legislator	0.004081632653061225			disclose	0.004081632653061225	freedom	0.024489795918367346
point	0.012244897959183673			obtain	0.018658892128279883	impact	0.004081632653061225
handling	0.004081632653061225			require	0.003498542274052478	make	0.0163265306122449
possibility	0.004081632653061225			change	0.014577259475218658	ground	0.09795918367346938
website	0.0052478134110787176			choose	0.012244897959183673	party	0.012244897959183673
option	0.003498542274052478			reset	0.004081632653061225	objection	0.044897959183673466
link	0.0052478134110787176			use	0.052478134110787174	jaumos	0.004081632653061225
retention period	0.0029154518950437317			receive	0.004081632653061225	permit	0.02040816326530612
destruction process	0.0029154518950437317			follow	0.007580174927113703	law	0.0163265306122449
recovery	0.004081632653061225			unsubscribe	0.004081632653061225	newsletter	0.004081632653061225
method	0.004081632653061225			let	0.01574344023323615	cancel	0.004081632653061225
