NOUN	NOUN_weight	PROPN	PROPN_weight	VERB	VERB_weight	KeyBert	KeyBert_weight
datum protection	0.012987012987012988	member	0.01038961038961039	address	0.00909090909090909	directly	0.01818181818181818
handling	0.01818181818181818	persoonsgegevens	0.005194805194805195	provide	0.015584415584415584	process	0.1
datum protection regulator	0.011688311688311689	autoriteit	0.005194805194805195	base	0.005194805194805195	persoonsgegevens	0.01818181818181818
present	0.007792207792207792	supervisory	0.012987012987012988	indicate	0.007792207792207792	dutch	0.01818181818181818
body	0.011688311688311689	commission	0.005194805194805195	constitute	0.00909090909090909	personal	0.37272727272727274
privacy practice	0.006493506493506494	thomson	0.0025974025974025974	lead	0.006493506493506494	datum	0.2909090909090909
member state	0.007792207792207792	reuters	0.0025974025974025974	refer	0.007792207792207792	autoriteit	0.01818181818181818
company	0.00909090909090909	netherlands	0.0025974025974025974	alleged	0.0012987012987012987	grave	0.00909090909090909
respect	0.00909090909090909	privacy	0.012987012987012988	regard	0.006493506493506494	way	0.07272727272727272
example	0.00909090909090909	policy	0.005194805194805195			unhappy	0.045454545454545456
alternative	0.007792207792207792	european	0.012987012987012988			email	0.05454545454545454
datum protection law	0.006493506493506494	economic	0.005194805194805195			let	0.01818181818181818
privacy regulator	0.006493506493506494	area	0.005194805194805195			know	0.01818181818181818
complaint resolution process	0.006493506493506494	commissioner	0.007792207792207792			complain	0.08181818181818182
dispute resolution body	0.006493506493506494	supervisor	0.0025974025974025974			response	0.01818181818181818
arbitration process	0.006493506493506494	berliner	0.0025974025974025974			receive	0.02727272727272727
condition	0.00909090909090909	beauftragte	0.0025974025974025974			final	0.00909090909090909
participation	0.00909090909090909	dutch	0.0025974025974025974			legislation	0.01818181818181818
adherence	0.01818181818181818	twitter	0.0025974025974025974			applicable	0.06363636363636363
accountability	0.00909090909090909	international	0.0025974025974025974			consider	0.02727272727272727
list	0.00909090909090909	company	0.0025974025974025974			contradiction	0.00909090909090909
attention	0.00909090909090909	irish	0.0025974025974025974			singapore	0.00909090909090909
acknowledgement	0.00909090909090909	shield	0.007792207792207792			commission	0.01818181818181818
service	0.02207792207792208	union	0.005194805194805195			resident	0.00909090909090909
cost	0.007792207792207792	bbb	0.0025974025974025974			law	0.08181818181818182
data	0.08181818181818182	polish	0.0025974025974025974			allege	0.045454545454545456
reason	0.00909090909090909	cheshire	0.0025974025974025974			regard	0.045454545454545456
residence	0.014285714285714285	wycliffe	0.0025974025974025974			processing	0.16363636363636364
regulator	0.025974025974025976	5af	0.0025974025974025974			customer	0.00909090909090909
description	0.00909090909090909	house	0.0025974025974025974			service	0.03636363636363636
nature	0.00909090909090909	water	0.0025974025974025974			department	0.00909090909090909
data privacy authority	0.006493506493506494	lane	0.0025974025974025974			violation	0.01818181818181818
principle	0.00909090909090909	wilmslow	0.0025974025974025974			responsible	0.01818181818181818
provision	0.00909090909090909	sk9	0.0025974025974025974			reuters	0.00909090909090909
