NOUN	NOUN_weight	PROPN	PROPN_weight	VERB	VERB_weight	KeyBert	KeyBert_weight
copy	0.13043478260869565	privacy laws	0.004968944099378882	access	0.40248447204968946	access	0.8434782608695652
datum	0.30559006211180123	privacy policy	0.006211180124223602	gather	0.008695652173913044	request	0.391304347826087
right	0.5031055900621118	eea	0.014906832298136646	request	0.26335403726708073	datum	0.34782608695652173
datum subject access request	0.004968944099378882	terms	0.008695652173913044	process	0.1639751552795031	right	0.5391304347826087
access request	0.013664596273291925	tandem	0.006211180124223602	know	0.024844720496894408	copy	0.12173913043478261
access	0.3937888198757764	personal information	0.013664596273291925	enable	0.017391304347826087	gather	0.008695652173913044
information	0.546583850931677	article	0.02732919254658385	hold	0.26335403726708073	personal	0.6695652173913044
exemption	0.02608695652173913	gdpr	0.05341614906832298	check	0.02608695652173913	lawfully	0.008695652173913044
request	0.08322981366459627	carx technologies limited	0.006211180124223602	receive	0.05217391304347826	receive	0.043478260869565216
account tool	0.004968944099378882	yazio	0.006211180124223602	delete	0.017391304347826087	process	0.17391304347826086
faith effort	0.012422360248447204	icbc business	0.004968944099378882	amend	0.008695652173913044	enable	0.017391304347826087
error	0.008695652173913044	personal data	0.02608695652173913	provide	0.17391304347826086	subject	0.06956521739130435
game setting	0.006211180124223602	lion studios	0.004968944099378882	store	0.0422360248447205	hold	0.28695652173913044
user	0.049689440993788817	musescore	0.006211180124223602	oblige	0.007453416149068323	commonly	0.034782608695652174
purpose	0.05217391304347826	data	0.02857142857142857	rectify	0.009937888198757764	check	0.02608695652173913
summary	0.008695652173913044	amino	0.008695652173913044	base	0.02981366459627329	know	0.02608695652173913
instruction	0.008695652173913044	nekki limited	0.004968944099378882	load	0.008695652173913044	delete	0.017391304347826087
section	0.024844720496894408	eu	0.006211180124223602	follow	0.016149068322981366	amend	0.008695652173913044
case	0.02857142857142857	hong kong law	0.006211180124223602	ask	0.05217391304347826	information	0.6086956521739131
confirmation	0.02236024844720497	legal protection	0.006211180124223602	relate	0.008695652173913044	correct	0.034782608695652174
rectification	0.011180124223602485	game	0.006211180124223602	obtain	0.049689440993788817	privacy	0.043478260869565216
delay	0.008695652173913044	personal	0.03229813664596273	concern	0.0484472049689441	exemption	0.02608695652173913
account	0.06956521739130435	dingtone	0.006211180124223602	complete include	0.004968944099378882	laws	0.008695652173913044
mean	0.008695652173913044	contact homa games	0.006211180124223602	take	0.009937888198757764	provide	0.17391304347826086
processing	0.037267080745341616	availability alerts delivers	0.006211180124223602	contact	0.040993788819875775	certain	0.08695652173913043
statement	0.008695652173913044	recommendations listmania	0.006211180124223602	realize	0.008695652173913044	oblige	0.008695652173913044
contact information	0.004968944099378882	profile	0.007453416149068323	object	0.007453416149068323	simple	0.008695652173913044
rectification right	0.006211180124223602	playdemic	0.006211180124223602	use	0.04596273291925466	store	0.034782608695652174
complaint erasure	0.006211180124223602	data protection act	0.006211180124223602	share	0.008695652173913044	account	0.08695652173913043
blockage	0.008695652173913044	privacy settings	0.006211180124223602	log	0.01987577639751553	tool	0.008695652173913044
data	0.03229813664596273	notification settings	0.006211180124223602	collect	0.014906832298136646	error	0.008695652173913044
company	0.008695652173913044	account settings	0.006211180124223602	verify	0.008695652173913044	rectify	0.017391304347826087
game account	0.006211180124223602	privacy center	0.006211180124223602	rectify erase	0.006211180124223602	effort	0.017391304347826087
use	0.017391304347826087	spotify	0.008695652173913044	restrict	0.016149068322981366	faith	0.017391304347826087
respect	0.02608695652173913	privacy	0.008695652173913044	write	0.006211180124223602	good	0.017391304347826087
order	0.03354037267080745	lion	0.0037267080745341614	associate	0.024844720496894408	make	0.043478260869565216
law	0.05341614906832298	homa	0.0037267080745341614	register	0.007453416149068323	game	0.034782608695652174
detail	0.03354037267080745	list	0.002484472049689441	review	0.034782608695652174	user	0.05217391304347826
account setting page	0.006211180124223602	laws	0.002484472049689441	control	0.024844720496894408	setting	0.05217391304347826
service	0.0546583850931677	policy	0.002484472049689441	exercise	0.02981366459627329	eea	0.017391304347826087
setting page	0.006211180124223602	information	0.007453416149068323	correct complete	0.004968944099378882	available	0.017391304347826087
time	0.04596273291925466	technologies	0.002484472049689441	update	0.008695652173913044	load	0.008695652173913044
tab	0.008695652173913044	limited	0.004968944099378882	include	0.07701863354037267	policy	0.008695652173913044
method	0.007453416149068323	carx	0.002484472049689441	aim	0.017391304347826087	follow	0.017391304347826087
accordance	0.05217391304347826	icbc	0.002484472049689441	automate	0.017391304347826087	summary	0.008695652173913044
datum storage	0.012422360248447204	business	0.002484472049689441	confirm	0.024844720496894408	section	0.02608695652173913
controller confirmation	0.012422360248447204	studios	0.002484472049689441	entitle	0.024844720496894408	base	0.02608695652173913
decision	0.017391304347826087	nekki	0.002484472049689441	download	0.017391304347826087	purpose	0.05217391304347826
making	0.017391304347826087	hong	0.002484472049689441	like	0.008695652173913044	instruction	0.008695652173913044
profiling	0.017391304347826087	kong	0.002484472049689441	submit	0.008695652173913044	terms	0.008695652173913044
period	0.02608695652173913	law	0.002484472049689441	reserve	0.008695652173913044	ask	0.05217391304347826
existence	0.017391304347826087	legal	0.002484472049689441	communicate	0.008695652173913044	case	0.034782608695652174
category	0.034782608695652174	protection	0.004968944099378882	plan	0.007453416149068323	confirmation	0.034782608695652174
recipient	0.034782608695652174	contact	0.002484472049689441	let	0.008695652173913044	relate	0.008695652173913044
child	0.008695652173913044	games	0.002484472049689441	strive	0.008695652173913044	rectification	0.017391304347826087
parent	0.008695652173913044	availability	0.002484472049689441	inquire	0.008695652173913044	inaccurate	0.008695652173913044
format	0.013664596273291925	alerts	0.002484472049689441	locate	0.017391304347826087	undue	0.008695652173913044
machine	0.02608695652173913	delivers	0.002484472049689441	maintain	0.017391304347826087	obtain	0.05217391304347826
data access request	0.006211180124223602	recommendations	0.002484472049689441	access modify	0.006211180124223602	concern	0.05217391304347826
page	0.02236024844720497	listmania	0.002484472049689441	export	0.008695652173913044	delay	0.008695652173913044
setting	0.02857142857142857	act	0.002484472049689441	email	0.014906832298136646	supplementary	0.008695652173913044
button	0.017391304347826087	settings	0.002484472049689441	explain	0.008695652173913044	include	0.0782608695652174
data protection law	0.012422360248447204	notification	0.002484472049689441	possess	0.008695652173913044	statement	0.008695652173913044
message	0.017391304347826087	account	0.002484472049689441	correct	0.017391304347826087	processing	0.043478260869565216
content	0.008695652173913044	center	0.002484472049689441	add	0.008695652173913044	incomplete	0.017391304347826087
filter	0.008695652173913044			meet	0.008695652173913044	complete	0.017391304347826087
datum processing	0.006211180124223602			undergo	0.016149068322981366	mean	0.008695652173913044
time information	0.006211180124223602			note	0.007453416149068323	contact	0.05217391304347826
data storage	0.006211180124223602			describe	0.008695652173913044	incorrect	0.008695652173913044
charge	0.008695652173913044			send	0.008695652173913044	realize	0.008695652173913044
duration	0.007453416149068323			require	0.014906832298136646	use	0.09565217391304348
origin	0.008695652173913044			conduct	0.017391304347826087	complaint	0.008695652173913044
function	0.008695652173913044			depend	0.017391304347826087	tandem	0.008695652173913044
article	0.011180124223602485			call	0.014906832298136646	erasure	0.008695652173913044
case access	0.006211180124223602			gain	0.008695652173913044	blockage	0.008695652173913044
address	0.01987577639751553			volunteer	0.007453416149068323	object	0.008695652173913044
circumstance	0.008695652173913044			envisage	0.007453416149068323	company	0.008695652173913044
legislation	0.008695652173913044			disclose	0.008695652173913044	data	0.13043478260869565
profile setting	0.006211180124223602			transmit	0.008695652173913044	share	0.008695652173913044
subject	0.011180124223602485			include recommend	0.006211180124223602	log	0.02608695652173913
example	0.016149068322981366			improve	0.008695652173913044	verify	0.008695652173913044
addition	0.008695652173913044			respect	0.008695652173913044	general	0.008695652173913044
comment	0.008695652173913044			enter	0.008695652173913044	respect	0.034782608695652174
record	0.008695652173913044			offer	0.008695652173913044	collect	0.017391304347826087
explanation	0.008695652173913044			invite	0.008695652173913044	order	0.017391304347826087
inaccuracy	0.008695652173913044			join	0.008695652173913044	restrict	0.017391304347826087
cost	0.008695652173913044			import	0.008695652173913044	law	0.08695652173913043
fee	0.008695652173913044			make	0.012422360248447204	european	0.008695652173913044
trade secret	0.006211180124223602			find	0.008695652173913044	erase	0.008695652173913044
property	0.008695652173913044			allow	0.008695652173913044	write	0.008695652173913044
help service	0.006211180124223602			choose	0.008695652173913044	register	0.008695652173913044
interest	0.017391304347826087			manage	0.008695652173913044	service	0.06086956521739131
assessment	0.017391304347826087			set	0.008695652173913044	associate	0.02608695652173913
evaluation	0.017391304347826087			record	0.008695652173913044	page	0.02608695652173913
test	0.009937888198757764			give	0.004968944099378882	tab	0.008695652173913044
right request	0.004968944099378882			see	0.006211180124223602	review	0.034782608695652174
access right	0.012422360248447204			regard	0.002484472049689441	time	0.043478260869565216
privacy law	0.012422360248447204			keep	0.002484472049689441	control	0.02608695652173913
term	0.017391304347826087			following	0.0012422360248447205	method	0.008695652173913044
variation	0.017391304347826087			complete	0.004968944099378882	applicable	0.06086956521739131
portability	0.01987577639751553			erase	0.002484472049689441	accordance	0.05217391304347826
jurisdiction	0.034782608695652174			modify	0.002484472049689441	exercise	0.02608695652173913
personal information	0.004968944099378882			recommend	0.002484472049689441	update	0.008695652173913044
balancing test	0.007453416149068323					gdpr	0.06086956521739131
research activity	0.006211180124223602					article	0.034782608695652174
contract performance	0.006211180124223602					15	0.034782608695652174
data portability	0.006211180124223602					aim	0.017391304347826087
consent	0.008695652173913044					carx	0.008695652173913044
controller	0.013664596273291925					profiling	0.017391304347826087
credit card information	0.006211180124223602					controller	0.02608695652173913
advertising preference address book	0.006211180124223602					automate	0.008695652173913044
mail notification setting	0.004968944099378882					limited	0.017391304347826087
date information	0.004968944099378882					technologies	0.008695652173913044
wish list	0.006211180124223602					category	0.02608695652173913
gift card balance	0.006211180124223602					recipient	0.034782608695652174
mail password communication	0.004968944099378882					confirm	0.02608695652173913
list reminder	0.004968944099378882					parent	0.008695652173913044
shopping list	0.006211180124223602					child	0.008695652173913044
click setting	0.006211180124223602					readable	0.02608695652173913
payment setting	0.006211180124223602					format	0.02608695652173913
gift registry	0.006211180124223602					structured	0.017391304347826087
product review	0.004968944099378882					machine	0.02608695652173913
wedding registry	0.006211180124223602					entitle	0.02608695652173913
seller account	0.006211180124223602					submit	0.008695652173913044
