NOUN	NOUN_weight	PROPN	PROPN_weight	VERB	VERB_weight	KeyBert	KeyBert_weight
datum	0.34870641169853767	general data protection regulation	0.01124859392575928	edit	0.006749156355455568	datum	0.3779527559055118
time	0.02249718785151856	gdpr	0.06411698537682789	delete	0.006749156355455568	delete	0.007874015748031496
right	0.5376827896512936	member state	0.00562429696287964	restrict	0.4420697412823397	edit	0.007874015748031496
processing	0.4915635545556805	union	0.007874015748031496	meet	0.015748031496062992	time	0.015748031496062992
pre	0.013498312710911136	personal information	0.008998875140607425	provide	0.03937007874015748	restrict	0.49606299212598426
condition	0.04274465691788527	article	0.04049493813273341	entitle	0.013498312710911136	processing	0.5433070866141733
article	0.023622047244094488	overmobile	0.006749156355455568	limit	0.12485939257592801	right	0.5511811023622047
data collection	0.00562429696287964	privacy policy	0.0044994375703037125	demand	0.02249718785151856	gdpr	0.07874015748031496
accordance	0.047244094488188976	user experience improvement program location access	0.0044994375703037125	accord	0.013498312710911136	regulation	0.015748031496062992
art	0.02249718785151856	mi account	0.00562429696287964	process	0.14623172103487064	limit	0.13385826771653545
type	0.007874015748031496	discord	0.00562429696287964	prevent	0.014623172103487065	protection	0.031496062992125984
company	0.007874015748031496	personal	0.02249718785151856	use	0.09111361079865017	provide	0.03937007874015748
restriction	0.26321709786276715	nekki limited	0.00562429696287964	override	0.006749156355455568	demand	0.023622047244094488
circumstance	0.10236220472440945	art.18 gdpr	0.0044994375703037125	enable	0.015748031496062992	condition	0.047244094488188976
user	0.023622047244094488	twitter	0.00562429696287964	verify	0.015748031496062992	certain	0.18110236220472442
data accuracy	0.00562429696287964	periscope	0.006749156355455568	suspend	0.007874015748031496	data	0.09448818897637795
request restriction	0.0044994375703037125	direct	0.0044994375703037125	establish	0.007874015748031496	pre	0.015748031496062992
use	0.1203599550056243	personal data	0.0044994375703037125	object	0.03487064116985377	article	0.07086614173228346
scenario	0.007874015748031496	itv	0.006749156355455568	want	0.047244094488188976	personal	0.5275590551181102
ground	0.06299212598425197	freeview	0.00562429696287964	need	0.03712035995500562	meet	0.015748031496062992
limitation	0.015748031496062992	protection	0.0044994375703037125	ask	0.11698537682789652	18	0.08661417322834646
data	0.05061867266591676	regulation	0.0044994375703037125	request	0.16760404949381327	general	0.015748031496062992
interest	0.07761529808773904	general	0.0044994375703037125	concern	0.03262092238470191	entitle	0.015748031496062992
consent	0.047244094488188976	data	0.006749156355455568	assert exercise	0.0044994375703037125	accord	0.015748031496062992
person	0.03937007874015748	state	0.0022497187851518562	defend	0.007874015748031496	collection	0.023622047244094488
purpose	0.07424071991001124	member	0.0022497187851518562	lift	0.013498312710911136	accordance	0.047244094488188976
protection	0.010123734533183352	information	0.0044994375703037125	inform	0.02249718785151856	art	0.023622047244094488
law	0.015748031496062992	policy	0.0022497187851518562	permit	0.0044994375703037125	restriction	0.2992125984251969
deletion	0.023622047244094488	privacy	0.0022497187851518562	choose	0.031496062992125984	prevent	0.015748031496062992
information	0.2890888638920135	account	0.0022497187851518562	apply	0.031496062992125984	company	0.007874015748031496
way	0.05849268841394826	mi	0.0022497187851518562	pursuant	0.00562429696287964	process	0.16535433070866143
service	0.03374578177727784	user	0.0022497187851518562	assert	0.010123734533183352	type	0.007874015748031496
data subject	0.00562429696287964	experience	0.0022497187851518562	obtain	0.06524184476940383	user	0.031496062992125984
controller restriction	0.01687289088863892	improvement	0.0022497187851518562	grant	0.006749156355455568	circumstance	0.10236220472440945
legislator	0.007874015748031496	program	0.0022497187851518562	control	0.04274465691788527	request	0.23622047244094488
device setting	0.01124859392575928	location	0.0022497187851518562	contact	0.007874015748031496	suspend	0.007874015748031496
advertising id	0.008998875140607425	access	0.0022497187851518562	require	0.04611923509561305	establish	0.007874015748031496
object	0.01799775028121485	art.18	0.0022497187851518562	contest	0.04611923509561305	verify	0.015748031496062992
request	0.0562429696287964	nekki	0.0022497187851518562	describe	0.015748031496062992	legitimate	0.05511811023622047
estriction	0.007874015748031496	limited	0.0022497187851518562	exercise	0.01799775028121485	need	0.03937007874015748
accuracy	0.06524184476940383			consider	0.023622047244094488	enable	0.015748031496062992
storage purpose	0.00562429696287964			stop process	0.00562429696287964	override	0.007874015748031496
operating system setting	0.00562429696287964			hold	0.03712035995500562	use	0.2283464566929134
cookie	0.007874015748031496			adjust	0.015748031496062992	accuracy	0.07086614173228346
