NOUN	NOUN_weight	PROPN	PROPN_weight	VERB	VERB_weight	KeyBert	KeyBert_weight
delay	0.018685955394816153	general data protection regulation	0.0015069318866787222	concern	0.025617842073538274	gdpr	0.023206751054852322
datum	0.325497287522604	gdpr	0.020192887281494876	rectify	0.05063291139240506	regulation	0.004219409282700422
article	0.010548523206751054	personal	0.02863170584689572	entitle	0.007836045810729355	rectify	0.06329113924050633
right	0.2597950572634117	article	0.015370705244122965	demand	0.012055455093429777	data	0.10759493670886076
update	0.035864978902953586	jaumo	0.0045207956600361665	accord	0.0018083182640144665	incorrect	0.029535864978902954
information	0.37281494876431587	id	0.0027124773960217	delete	0.32338758288125374	concern	0.029535864978902954
file	0.004822182037371911	lingodeer	0.0015069318866787222	update	0.1112115732368897	16	0.012658227848101266
inaccuracy	0.01235684147076552	livu	0.003616636528028933	log	0.02802893309222423	demand	0.02109704641350211
account	0.15973477998794455	profile	0.005123568414707656	review	0.02863170584689572	article	0.02531645569620253
accordance	0.02471368294153104	account	0.006027727546714889	request	0.19861362266425558	protection	0.012658227848101266
art	0.004219409282700422	metros privacy officer	0.0015069318866787222	modify	0.0461121157323689	entitle	0.008438818565400843
rectification	0.06359252561784208	personal data	0.011151295961422544	gather	0.0024110910186859553	datum	0.35443037974683544
removal	0.003616636528028933	advertising demand partner	0.0030138637733574444	enforce	0.004219409282700422	personal	0.5126582278481012
retention period	0.0015069318866787222	publisher partner	0.0027124773960217	erasure	0.012658227848101266	general	0.004219409282700422
data portability	0.004219409282700422	flow	0.0015069318866787222	access	0.13592525617842074	delay	0.016877637130801686
expiration	0.002109704641350211	privacy policy	0.007836045810729355	correct	0.148583484026522	accord	0.002109704641350211
data	0.04822182037371911	terms	0.002109704641350211	ask	0.07383966244725738	delete	0.35654008438818563
accuracy	0.014466546112115732	eea	0.003616636528028933	verify	0.016877637130801686	right	0.27637130801687765
user	0.046413502109704644	r2games	0.0018083182640144665	remove	0.05786618444846293	update	0.18143459915611815
owner	0.0039180229053646775	tandem	0.0018083182640144665	obtain	0.022001205545509342	account	0.22151898734177214
circumstance	0.028933092224231464	tandems	0.0015069318866787222	process	0.03887884267631103	information	0.45358649789029537
erasure	0.07685352622061482	game	0.0015069318866787222	enable	0.006329113924050633	inaccuracy	0.012658227848101266
reason	0.020192887281494876	account settings	0.0012055455093429777	continue	0.007233273056057866	request	0.24472573839662448
law	0.023508137432188065	mobile war	0.0027124773960217	comply	0.01235684147076552	relevant	0.008438818565400843
correction	0.03767329716696805	sns	0.003616636528028933	exercise	0.014466546112115732	review	0.04852320675105485
deletion obligation	0.0015069318866787222	facebook	0.006027727546714889	require	0.02230259192284509	correct	0.22151898734177214
exception	0.004219409282700422	personal information	0.009644364074743821	erase	0.0759493670886076	log	0.03164556962025317
para	0.004219409282700422	personal data request portal	0.0015069318866787222	object	0.031042796865581677	file	0.006329113924050633
entry	0.006329113924050633	personal information protection act	0.0015069318866787222	collect	0.05334538878842676	certain	0.056962025316455694
application	0.011452682338758288	llc	0.0015069318866787222	apply	0.013562386980108499	accordance	0.02531645569620253
deletion	0.056962025316455694	webmartgroup	0.0018083182640144665	change	0.09071729957805907	art	0.004219409282700422
respect	0.006329113924050633	app	0.0015069318866787222	enter	0.006329113924050633	modify	0.056962025316455694
time	0.10669077757685352	european economic area canada costa rica	0.0012055455093429777	provide	0.09373116335141651	rectification	0.07383966244725738
way	0.008438818565400843	united states	0.0015069318866787222	store	0.03616636528028933	use	0.08438818565400844
profile	0.0216998191681736	company	0.0012055455093429777	terminate	0.0039180229053646775	removal	0.004219409282700422
membership	0.004219409282700422	findnow	0.0018083182640144665	exclude	0.0015069318866787222	gather	0.004219409282700422
user behaviour	0.0015069318866787222	services	0.0030138637733574444	replace	0.005726341169379144	erasure	0.09071729957805907
termination	0.002109704641350211	geozilla	0.0015069318866787222	email	0.02531645569620253	expiration	0.002109704641350211
duration	0.002109704641350211	data	0.015370705244122965	manage	0.014165159734779989	retention	0.008438818565400843
case	0.0189873417721519	healthvault	0.0015069318866787222	send	0.020494273658830622	access	0.20253164556962025
option	0.008438818565400843	facebook settings	0.0015069318866787222	edit	0.030440024110910187	enforce	0.004219409282700422
app setting	0.0015069318866787222	instagram	0.002109704641350211	correct update	0.0030138637733574444	portability	0.010548523206751054
avatar	0.006329113924050633	customer support	0.0012055455093429777	rely	0.004219409282700422	period	0.002109704641350211
feature	0.004822182037371911	icbc	0.0015069318866787222	decline	0.002109704641350211	verify	0.016877637130801686
device	0.010247136829415311	imo	0.002109704641350211	withdraw	0.026823387582881254	accuracy	0.014767932489451477
photo	0.006931886678722122	personal d	0.0009041591320072332	opt	0.002109704641350211	user	0.05485232067510549
product	0.006329113924050633	keeper security	0.0012055455093429777	want	0.037371910789632305	ask	0.07383966244725738
instance	0.006329113924050633	customer	0.0018083182640144665	control	0.004219409282700422	remove	0.06118143459915612
service	0.06931886678722121	homer learning	0.0012055455093429777	process concern	0.0012055455093429777	owner	0.004219409282700422
review	0.0030138637733574444	tantan	0.0015069318866787222	complete	0.017179023508137433	obtain	0.023206751054852322
content	0.010247136829415311	medium	0.0018083182640144665	access modify	0.006027727546714889	circumstance	0.029535864978902954
request	0.04159132007233273	information	0.008740204942736588	sign	0.006027727546714889	process	0.04430379746835443
